@RELATION player

@ATTRIBUTE proteccion         {baja,media,alta}
@ATTRIBUTE gv_proteccion      NUMERIC
@ATTRIBUTE distancia_ja       {pequena,media,grande}
@ATTRIBUTE gv_distancia_ja    NUMERIC
@ATTRIBUTE cercania           {"mucho mas cerca","mas cerca","mas lejos","mucho mas lejos"}
@ATTRIBUTE gv_cercania_jr      NUMERIC
@ATTRIBUTE accion             {"seguir adelante",evadir}

@DATA
media,1.0,pequena,0.5,"mas cerca",1.0,evadir
media,0.6696428571428573,media,1.0,"mas cerca",0.5,evadir
media,0.8413461538461541,media,1.0,"mas cerca",0.5,evadir
media,0.9375000000000003,media,1.0,"mas cerca",0.5,evadir
baja,1.0,media,1.0,"mucho mas cerca",1.0,evadir
media,0.9375000000000003,media,1.0,"mas cerca",0.5,evadir
baja,0.6394230769230768,media,1.0,"mucho mas cerca",1.0,evadir
baja,0.7767857142857143,media,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,media,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,media,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,media,1.0,"mucho mas cerca",1.0,evadir
baja,0.7767857142857143,media,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,media,1.0,"mucho mas cerca",1.0,evadir
media,0.9375000000000003,media,1.0,"mas cerca",0.5,evadir
baja,1.0,media,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,media,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,media,1.0,"mucho mas cerca",1.0,evadir
media,0.9375000000000003,media,1.0,"mucho mas cerca",1.0,evadir
media,0.8413461538461541,media,1.0,"mucho mas cerca",1.0,evadir
media,1.0,media,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,media,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,media,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,media,1.0,"mas lejos",1.0,evadir
media,0.6696428571428573,media,1.0,"mas lejos",0.5,evadir
media,0.8413461538461541,media,1.0,"mas cerca",1.0,evadir
media,1.0,media,1.0,"mas cerca",1.0,evadir
media,0.9375000000000003,media,1.0,"mas cerca",1.0,"seguir adelante"
alta,1.0,pequena,0.5,"mas cerca",1.0,evadir
media,1.0,media,1.0,"mas cerca",0.5,evadir
media,0.6302521008403357,media,1.0,"mas cerca",0.5,evadir
media,1.0,media,1.0,"mas cerca",0.5,"seguir adelante"
alta,1.0,pequena,0.5,"mas cerca",0.5,evadir
media,0.9375000000000003,media,1.0,"mucho mas cerca",1.0,evadir
media,1.0,media,1.0,"mucho mas cerca",1.0,evadir
media,1.0,media,1.0,"mucho mas cerca",1.0,evadir
media,1.0,media,1.0,"mucho mas cerca",1.0,evadir
media,1.0,media,1.0,"mucho mas cerca",1.0,evadir
baja,0.6875,media,0.75,"mucho mas cerca",0.75,evadir
baja,1.0,media,0.75,"mucho mas cerca",0.75,evadir
media,0.7812500000000001,media,0.75,"mucho mas cerca",0.75,evadir
baja,1.0,media,0.75,"mucho mas cerca",0.75,evadir
baja,1.0,media,0.75,"mucho mas cerca",0.75,evadir
media,0.9375000000000003,media,0.75,"mucho mas cerca",0.75,evadir
media,0.8823529411764706,media,0.75,"mucho mas cerca",0.75,evadir
media,0.7812500000000001,media,0.75,"mas lejos",0.75,evadir
baja,1.0,media,0.75,"mas lejos",0.75,evadir
media,0.9375000000000003,media,0.75,"mas lejos",0.75,evadir
baja,0.6875,media,0.75,"mucho mas cerca",0.75,evadir
media,0.7812500000000001,media,0.75,"mucho mas cerca",0.75,evadir
baja,1.0,media,0.75,"mucho mas cerca",0.75,evadir
baja,1.0,media,0.75,"mucho mas cerca",0.75,evadir
baja,1.0,media,0.75,"mucho mas cerca",0.75,evadir
baja,1.0,media,0.75,"mucho mas lejos",0.75,evadir
baja,1.0,media,0.75,"mas lejos",0.75,evadir
media,0.9375000000000003,media,0.75,"mas lejos",0.75,evadir
baja,0.6875,media,0.75,"mas cerca",0.75,evadir
media,1.0,media,0.75,"mas cerca",0.75,evadir
baja,1.0,media,0.75,"mas cerca",0.75,evadir
media,1.0,media,0.75,"mas cerca",0.75,evadir
baja,0.6875,media,0.75,"mas cerca",0.75,evadir
baja,0.6875,media,0.75,"mas cerca",0.75,"seguir adelante"
media,1.0,pequena,0.5,"mas cerca",0.5,evadir
media,0.5208333333333333,pequena,0.5,"mas cerca",0.5,evadir
baja,0.6875,media,1.0,"mucho mas cerca",1.0,evadir
baja,0.6875,media,1.0,"mucho mas cerca",1.0,evadir
baja,0.6875,media,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,media,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,media,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,media,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,media,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,media,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,media,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,media,1.0,"mucho mas cerca",1.0,evadir
media,0.8413461538461541,media,1.0,"mas cerca",0.5,evadir
media,0.8413461538461541,media,1.0,"mas cerca",0.5,evadir
baja,0.6394230769230768,media,1.0,"mas cerca",0.5,"seguir adelante"
media,0.5629208754208755,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
media,0.8528386454183268,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
media,0.6935975609756098,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
media,0.5994496855345911,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
media,0.5495689655172415,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
baja,0.5600728155339804,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
baja,0.5592948717948716,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
baja,0.5982142857142857,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
baja,0.9080882352941176,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
baja,0.9080882352941176,grande,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,grande,1.0,"mucho mas cerca",1.0,evadir
baja,0.7596153846153847,grande,1.0,"mucho mas cerca",1.0,evadir
baja,0.8487903225806452,grande,1.0,"mas cerca",1.0,"seguir adelante"
baja,0.7306034482758622,grande,1.0,"mas cerca",0.75,"seguir adelante"
baja,0.7961956521739132,grande,1.0,"mas cerca",1.0,"seguir adelante"
media,0.5756578947368423,grande,1.0,"mas cerca",1.0,"seguir adelante"
baja,0.6875,grande,1.0,"mas cerca",1.0,"seguir adelante"
baja,0.5738636363636364,media,0.5,"mas cerca",1.0,"seguir adelante"
baja,0.7767857142857143,media,1.0,"mas lejos",0.5,"seguir adelante"
media,0.5208333333333333,pequena,0.5,"mas cerca",1.0,evadir
baja,1.0,media,0.75,"mas cerca",0.75,evadir
baja,1.0,media,0.75,"mucho mas cerca",0.75,evadir
baja,1.0,media,0.75,"mucho mas cerca",0.75,evadir
baja,1.0,media,0.75,"mucho mas cerca",0.75,evadir
media,0.9375000000000003,media,0.75,"mucho mas cerca",0.75,evadir
baja,1.0,media,0.75,"mucho mas cerca",0.75,evadir
baja,1.0,media,0.75,"mucho mas cerca",0.75,evadir
baja,0.6875,media,0.75,"mucho mas cerca",0.75,evadir
baja,1.0,media,0.75,"mucho mas cerca",0.75,"seguir adelante"
media,1.0,pequena,0.75,"mas cerca",0.75,evadir
baja,1.0,media,0.75,"mas cerca",0.75,evadir
baja,1.0,media,0.75,"mas cerca",0.75,"seguir adelante"
media,1.0,pequena,0.75,"mas cerca",0.75,evadir
media,1.0,pequena,0.75,"mas cerca",0.75,evadir
media,0.7812500000000001,media,0.75,"mas lejos",0.75,evadir
media,1.0,media,0.75,"mas cerca",0.75,evadir
media,0.7812500000000001,media,0.75,"mas cerca",0.75,"seguir adelante"
alta,1.0,pequena,0.5,"mas cerca",1.0,evadir
media,1.0,media,1.0,"mas cerca",0.5,evadir
media,0.6302521008403357,media,1.0,"mas cerca",0.5,evadir
media,1.0,media,1.0,"mas cerca",0.5,"seguir adelante"
alta,1.0,pequena,0.5,"mas cerca",0.5,evadir
media,1.0,media,1.0,"mucho mas cerca",1.0,evadir
media,0.6302521008403357,media,1.0,"mucho mas cerca",1.0,evadir
media,1.0,media,1.0,"mucho mas cerca",1.0,evadir
media,1.0,media,1.0,"mas lejos",0.5,evadir
media,0.8680555555555557,media,0.75,"mas cerca",0.75,evadir
media,0.7812500000000001,media,0.75,"mucho mas cerca",1.0,evadir
baja,1.0,media,0.75,"mucho mas cerca",1.0,evadir
media,0.5208333333333333,media,0.75,"mucho mas cerca",1.0,evadir
baja,1.0,media,0.75,"mucho mas cerca",1.0,evadir
media,0.9375000000000003,media,1.0,"mucho mas cerca",1.0,evadir
baja,0.6394230769230768,media,1.0,"mas cerca",1.0,"seguir adelante"
media,1.0,pequena,0.5,"mas cerca",1.0,"seguir adelante"
alta,1.0,pequena,1.0,"mas cerca",1.0,evadir
media,1.0,pequena,0.5,"mas cerca",0.5,evadir
baja,0.6394230769230768,media,1.0,"mucho mas cerca",1.0,evadir
media,1.0,media,1.0,"mucho mas cerca",1.0,evadir
baja,0.6394230769230768,media,1.0,"mas cerca",1.0,"seguir adelante"
alta,0.5098039215686273,pequena,0.5,"mas cerca",0.5,evadir
baja,0.6394230769230768,media,1.0,"mucho mas cerca",1.0,evadir
media,1.0,media,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,media,1.0,"mucho mas cerca",1.0,evadir
media,0.9375000000000003,media,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,media,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,media,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,media,1.0,"mucho mas cerca",1.0,evadir
baja,0.6875,media,1.0,"mucho mas cerca",1.0,evadir
baja,0.6394230769230768,media,1.0,"mucho mas cerca",1.0,evadir
media,1.0,media,1.0,"mucho mas cerca",1.0,evadir
baja,0.6394230769230768,media,1.0,"mucho mas cerca",1.0,evadir
media,0.9375000000000003,media,1.0,"mas cerca",1.0,"seguir adelante"
media,0.9375000000000003,media,1.0,"mas cerca",0.5,evadir
baja,0.6394230769230768,media,1.0,"mas cerca",0.5,evadir
media,0.6696428571428573,media,1.0,"mas cerca",0.5,"seguir adelante"
media,1.0,pequena,0.5,"mas cerca",0.5,evadir
media,0.5208333333333333,pequena,0.5,"mas cerca",0.5,evadir
baja,0.6875,media,1.0,"mucho mas cerca",1.0,evadir
baja,0.6875,media,1.0,"mucho mas cerca",1.0,evadir
baja,0.6875,media,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,media,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,media,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,media,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,media,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,media,0.75,"mucho mas cerca",1.0,evadir
baja,1.0,media,0.75,"mucho mas cerca",1.0,evadir
baja,1.0,media,0.75,"mucho mas cerca",1.0,evadir
baja,0.6093749999999999,media,0.75,"mucho mas cerca",0.75,evadir
media,1.0,media,0.75,"mucho mas cerca",0.75,evadir
media,0.7812500000000001,media,0.75,"mucho mas cerca",0.75,"seguir adelante"
media,0.5629208754208755,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
media,0.8528386454183268,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
media,0.6935975609756098,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
media,0.5994496855345911,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
media,0.6167763157894736,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
baja,0.5463709677419355,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
media,0.5716463414634149,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
media,0.5489864864864865,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
baja,0.7596153846153847,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
media,1.0,grande,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,grande,1.0,"mucho mas cerca",1.0,evadir
baja,0.7596153846153847,grande,1.0,"mucho mas cerca",1.0,evadir
baja,0.6875,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
baja,0.6471774193548386,grande,1.0,"mas cerca",0.5,"seguir adelante"
baja,0.7106481481481483,grande,1.0,"mas cerca",0.5,"seguir adelante"
media,0.6114130434782609,grande,1.0,"mas cerca",0.5,"seguir adelante"
baja,0.5888157894736843,grande,1.0,"mas cerca",0.5,"seguir adelante"
media,0.7291666666666666,grande,1.0,"mas cerca",0.5,"seguir adelante"
baja,0.5738636363636364,media,0.5,"mas cerca",1.0,"seguir adelante"
baja,1.0,media,0.75,"mas cerca",0.75,evadir
baja,1.0,media,0.75,"mas cerca",0.75,"seguir adelante"
baja,1.0,media,0.75,"mucho mas cerca",0.75,evadir
baja,1.0,media,0.75,"mucho mas cerca",0.75,evadir
baja,1.0,media,1.0,"mucho mas cerca",1.0,evadir
baja,0.7767857142857143,media,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,media,0.75,"mucho mas cerca",0.75,evadir
baja,1.0,media,0.75,"mucho mas cerca",0.75,evadir
baja,0.6875,media,0.75,"mucho mas cerca",0.75,evadir
baja,1.0,media,0.75,"mucho mas cerca",0.75,"seguir adelante"
media,1.0,pequena,0.75,"mas cerca",0.75,evadir
baja,1.0,media,0.75,"mas cerca",0.75,evadir
baja,1.0,media,1.0,"mas cerca",0.5,"seguir adelante"
media,0.5208333333333333,pequena,0.5,"mas cerca",0.5,evadir
media,0.5208333333333333,pequena,0.5,"mas cerca",1.0,evadir
media,0.5208333333333333,pequena,0.5,"mas lejos",0.5,evadir
media,0.9375000000000003,media,1.0,"mas cerca",0.5,evadir
media,0.9375000000000003,media,1.0,"mas cerca",1.0,"seguir adelante"
alta,1.0,pequena,0.5,"mas cerca",1.0,evadir
media,1.0,media,1.0,"mas cerca",0.5,evadir
media,0.6302521008403357,media,1.0,"mas cerca",0.5,evadir
media,1.0,media,1.0,"mas cerca",0.5,"seguir adelante"
alta,1.0,pequena,0.5,"mas cerca",0.5,evadir
media,1.0,media,1.0,"mucho mas cerca",1.0,evadir
media,0.6302521008403357,media,1.0,"mucho mas cerca",1.0,evadir
media,1.0,media,1.0,"mucho mas cerca",1.0,evadir
media,1.0,media,1.0,"mas lejos",0.5,evadir
baja,0.6394230769230768,media,1.0,"mas lejos",0.5,evadir
baja,0.6394230769230768,media,1.0,"mucho mas cerca",1.0,evadir
baja,0.6875,media,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,media,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,media,1.0,"mucho mas cerca",1.0,evadir
media,0.9375000000000003,media,1.0,"mucho mas cerca",1.0,evadir
baja,0.6394230769230768,media,1.0,"mas cerca",1.0,"seguir adelante"
media,1.0,pequena,0.5,"mas cerca",1.0,"seguir adelante"
alta,1.0,pequena,1.0,"mas cerca",1.0,evadir
media,1.0,pequena,0.5,"mas cerca",0.5,evadir
baja,0.6394230769230768,media,1.0,"mucho mas cerca",1.0,evadir
media,1.0,media,1.0,"mucho mas cerca",1.0,evadir
baja,0.6394230769230768,media,1.0,"mas cerca",1.0,"seguir adelante"
alta,0.5098039215686273,pequena,0.5,"mas cerca",0.5,evadir
media,1.0,media,0.75,"mucho mas cerca",0.75,evadir
media,1.0,media,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,media,1.0,"mucho mas cerca",1.0,evadir
baja,0.6093749999999999,media,0.75,"mucho mas cerca",1.0,evadir
media,0.5208333333333333,media,0.75,"mucho mas cerca",1.0,evadir
baja,1.0,media,0.75,"mucho mas cerca",1.0,evadir
baja,1.0,media,0.75,"mucho mas cerca",1.0,evadir
baja,0.6875,media,1.0,"mucho mas cerca",1.0,evadir
baja,0.6093749999999999,media,0.75,"mucho mas cerca",1.0,evadir
media,0.5208333333333333,media,0.75,"mucho mas cerca",1.0,evadir
baja,0.6394230769230768,media,1.0,"mucho mas cerca",1.0,evadir
media,0.9375000000000003,media,1.0,"mas cerca",1.0,"seguir adelante"
media,0.9375000000000003,media,1.0,"mas cerca",0.5,evadir
baja,0.6394230769230768,media,1.0,"mas cerca",0.5,evadir
media,0.6696428571428573,media,1.0,"mas cerca",0.5,"seguir adelante"
media,1.0,pequena,0.5,"mas cerca",0.5,evadir
media,0.7812500000000001,media,0.75,"mucho mas cerca",0.75,evadir
baja,1.0,media,0.75,"mucho mas cerca",0.75,evadir
baja,1.0,media,0.75,"mucho mas cerca",1.0,evadir
media,0.5208333333333333,media,0.75,"mucho mas cerca",1.0,evadir
media,0.5208333333333333,media,0.75,"mucho mas cerca",1.0,evadir
baja,1.0,media,0.75,"mucho mas cerca",1.0,evadir
baja,1.0,media,0.75,"mucho mas cerca",1.0,evadir
baja,1.0,media,0.5,"mucho mas cerca",1.0,evadir
baja,1.0,media,0.75,"mucho mas cerca",1.0,evadir
baja,1.0,media,0.75,"mucho mas cerca",1.0,evadir
baja,1.0,media,0.75,"mucho mas cerca",1.0,evadir
baja,0.5888157894736843,media,0.5,"mucho mas cerca",1.0,evadir
media,0.7401315789473684,media,0.5,"mucho mas cerca",1.0,evadir
media,1.0,media,0.5,"mucho mas cerca",1.0,"seguir adelante"
media,0.5629208754208755,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
media,0.7275763358778627,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
media,0.7573689956331877,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
media,0.7884174311926608,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
media,0.7646276595744681,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
media,0.7812500000000001,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
media,0.7262323943661974,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
media,0.873940677966102,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
media,0.5208333333333333,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
media,0.5514705882352944,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
baja,1.0,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
media,0.5208333333333333,grande,1.0,"mucho mas cerca",1.0,evadir
baja,0.6394230769230768,grande,1.0,"mucho mas cerca",1.0,evadir
baja,0.6394230769230768,grande,1.0,"mucho mas cerca",1.0,evadir
baja,0.6394230769230768,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
baja,1.0,grande,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,grande,1.0,"mucho mas cerca",1.0,evadir
baja,0.8579545454545455,grande,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,grande,1.0,"mucho mas cerca",1.0,evadir
baja,0.9495967741935484,grande,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
baja,0.8124999999999998,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
baja,1.0,media,0.5,"mucho mas cerca",1.0,"seguir adelante"
baja,1.0,media,0.5,"mucho mas cerca",1.0,evadir
baja,1.0,media,0.5,"mucho mas cerca",1.0,evadir
baja,1.0,media,0.5,"mucho mas cerca",1.0,evadir
baja,1.0,media,0.5,"mucho mas cerca",1.0,evadir
baja,1.0,media,0.5,"mas lejos",0.5,evadir
baja,0.8579545454545455,media,0.5,"mucho mas lejos",1.0,evadir
baja,0.9320652173913044,media,0.5,"mas lejos",0.5,evadir
baja,0.8579545454545455,media,0.5,"mas cerca",1.0,"seguir adelante"
baja,0.6875,media,1.0,"mas cerca",0.5,"seguir adelante"
baja,0.6875,media,1.0,"mucho mas cerca",1.0,evadir
media,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas lejos",1.0,evadir
media,1.0,pequena,1.0,"mas lejos",0.5,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
media,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas lejos",1.0,evadir
media,1.0,pequena,1.0,"mas lejos",0.5,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
media,1.0,pequena,1.0,"mas lejos",0.5,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
media,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
media,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
media,1.0,pequena,1.0,"mas lejos",0.5,evadir
media,1.0,pequena,1.0,"mas lejos",0.5,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
media,1.0,pequena,1.0,"mas lejos",0.5,evadir
media,1.0,pequena,1.0,"mas lejos",1.0,evadir
baja,1.0,pequena,1.0,"mas lejos",1.0,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas lejos",0.5,evadir
media,1.0,pequena,1.0,"mas lejos",0.5,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
media,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
media,1.0,pequena,1.0,"mas lejos",0.5,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
media,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
media,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
baja,1.0,pequena,1.0,"mas lejos",0.5,evadir
media,1.0,pequena,1.0,"mas lejos",0.5,evadir
baja,1.0,pequena,1.0,"mas cerca",1.0,evadir
